Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2019,Jan,63.0,60.3,6471515,6190529,280986,4.3
2019,Feb,63.0,60.3,6472348,6193118,279230,4.3
2019,Mar,63.0,60.3,6471650,6193849,277801,4.3
2019,Apr,63.0,60.3,6472106,6194704,277402,4.3
2019,May,63.0,60.3,6475481,6196790,278691,4.3
2019,Jun,63.1,60.4,6482360,6200143,282217,4.4
2019,Jul,63.2,60.4,6492519,6204677,287842,4.4
2019,Aug,63.3,60.4,6504482,6210321,294161,4.5
2019,Sep,63.4,60.5,6516504,6217673,298831,4.6
2019,Oct,63.5,60.5,6526543,6224885,301658,4.6
2019,Nov,63.5,60.6,6532247,6228361,303886,4.7
2019,Dec,63.5,60.5,6533827,6225747,308080,4.7
2020,Jan,63.5,60.5,6532104,6216949,315155,4.8
2020,Feb,63.5,60.3,6528498,6204448,324050,5.0
2020,Mar,63.5,60.3,6525913,6194061,331852,5.1
2020,Apr,61.4,51.5,6313806,5290771,1023035,16.2
2020,May,62.4,54.0,6412123,5549484,862639,13.5
2020,Jun,62.5,54.2,6421698,5567918,853780,13.3
2020,Jul,62.6,54.4,6431720,5592719,839001,13.0
2020,Aug,60.9,54.6,6252470,5614075,638395,10.2
2020,Sep,61.5,57.1,6317241,5867228,450013,7.1
2020,Oct,61.4,57.1,6314482,5870140,444342,7.0
2020,Nov,61.4,57.1,6310994,5865408,445586,7.1
2020,Dec,61.4,57.0,6310050,5862162,447888,7.1
2021,Jan,61.3,56.8,6294551,5837381,457170,7.3
2021,Feb,61.7,57.1,6336114,5867054,469060,7.4
2021,Mar,61.7,57.2,6335821,5874307,461514,7.3
2021,Apr,61.5,57.2,6321342,5871458,449884,7.1
2021,May,61.6,57.3,6324371,5881498,442873,7.0
2021,Jun,61.5,57.3,6319978,5886605,433373,6.9
2021,Jul,61.4,57.3,6301955,5890211,411744,6.5
2021,Aug,61.3,57.3,6293200,5888485,404715,6.4
2021,Sep,61.1,57.3,6276103,5886161,389942,6.2
2021,Oct,61.0,57.4,6269232,5892646,376586,6.0
